__source_name,__source_id,city_raw
extracted_desc_adzuna_datajobs_2025.csv,4543,Murray Area
extracted_desc_adzuna_datajobs_2025.csv,4568,Townsville Region
extracted_desc_adzuna_datajobs_2025.csv,4571,Toowoomba Region
extracted_desc_adzuna_datajobs_2025.csv,4580,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,4592,Queensland
extracted_desc_adzuna_datajobs_2025.csv,4593,Queensland
extracted_desc_adzuna_datajobs_2025.csv,4605,Alice Springs Area
extracted_desc_adzuna_datajobs_2025.csv,4649,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4670,Geelong Region
extracted_desc_adzuna_datajobs_2025.csv,4674,Bendigo Region
extracted_desc_adzuna_datajobs_2025.csv,4686,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4691,Sunshine Coast Region
extracted_desc_adzuna_datajobs_2025.csv,4696,Gosnells Area
extracted_desc_adzuna_datajobs_2025.csv,4703,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4707,Wollongong Area
extracted_desc_adzuna_datajobs_2025.csv,4708,Cairns Region
extracted_desc_adzuna_datajobs_2025.csv,4712,Cairns Region
extracted_desc_adzuna_datajobs_2025.csv,4714,Mackay Region
extracted_desc_adzuna_datajobs_2025.csv,4743,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4802,Toowoomba Region
extracted_desc_adzuna_datajobs_2025.csv,4804,Tweed Heads Region
extracted_desc_adzuna_datajobs_2025.csv,4806,Wollongong Area
extracted_desc_adzuna_datajobs_2025.csv,4811,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4813,Cairns Region
extracted_desc_adzuna_datajobs_2025.csv,4814,Gold Coast Region
extracted_desc_adzuna_datajobs_2025.csv,4815,Bendigo Region
extracted_desc_adzuna_datajobs_2025.csv,4816,Darwin Region
extracted_desc_adzuna_datajobs_2025.csv,4817,Geelong Region
extracted_desc_adzuna_datajobs_2025.csv,4833,South Australia
extracted_desc_adzuna_datajobs_2025.csv,4835,Tasmania
extracted_desc_adzuna_datajobs_2025.csv,4838,Portsmith
extracted_desc_adzuna_datajobs_2025.csv,4839,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4860,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4873,Townsville Region
extracted_desc_adzuna_datajobs_2025.csv,4874,Kalgoorlie Region
extracted_desc_adzuna_datajobs_2025.csv,4879,Cairns Region
extracted_desc_adzuna_datajobs_2025.csv,4882,Townsville Region
extracted_desc_adzuna_datajobs_2025.csv,4903,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4905,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,4914,Queensland
extracted_desc_adzuna_datajobs_2025.csv,4921,Barangaroo
extracted_desc_adzuna_datajobs_2025.csv,4953,Darwin Region
extracted_desc_adzuna_datajobs_2025.csv,4974,Pialligo
extracted_desc_adzuna_datajobs_2025.csv,5000,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,5006,Perth Region
extracted_desc_adzuna_datajobs_2025.csv,5035,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,5046,Newcastle Area
extracted_desc_adzuna_datajobs_2025.csv,5048,Queensland
extracted_desc_adzuna_datajobs_2025.csv,5060,Noosa Area
extracted_desc_adzuna_datajobs_2025.csv,5064,Newcastle Area
extracted_desc_adzuna_datajobs_2025.csv,5065,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,5081,Queensland
extracted_desc_adzuna_datajobs_2025.csv,5089,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,5098,Wollongong Area
extracted_desc_adzuna_datajobs_2025.csv,5102,New South Wales
extracted_desc_adzuna_datajobs_2025.csv,5105,City
extracted_desc_adzuna_datajobs_2025.csv,5106,Subiaco Area
extracted_desc_adzuna_datajobs_2025.csv,5119,City
extracted_desc_adzuna_datajobs_2025.csv,5126,Sydney Region
extracted_desc_adzuna_datajobs_2025.csv,5142,Perth Airport
extracted_desc_adzuna_datajobs_2025.csv,5143,Mt Gambier Region
extracted_desc_adzuna_datajobs_2025.csv,5144,Australian Capital Territory
extracted_desc_adzuna_datajobs_2025.csv,5147,Wollongong Area
extracted_desc_adzuna_datajobs_2025.csv,5152,Wollongong Area
extracted_desc_adzuna_datajobs_2025.csv,5154,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,5155,Cairns Region
extracted_desc_adzuna_datajobs_2025.csv,5156,Bunglegumbie
extracted_desc_adzuna_datajobs_2025.csv,5157,Western Australia
extracted_desc_adzuna_datajobs_2025.csv,5170,Canberra Region
extracted_desc_adzuna_datajobs_2025.csv,5174,City
extracted_desc_adzuna_datajobs_2025.csv,5177,Sydney Region
extracted_desc_adzuna_datajobs_2025.csv,5179,Cairns Region
extracted_desc_adzuna_datajobs_2025.csv,5182,Cairns Region
